park_name,latitude,longitude
Auburn River National Park,-25.7195859,151.055205
Barron Gorge National Park,-16.8502471,145.6608026
Blackbraes National Park,-19.4832184,144.0566365
Blackdown Tableland National Park,-23.8217215,149.1026784
Bladensburg National Park,-22.6588509,143.0645108
Boodjamulla National Park,-18.2535014,138.1142188
Bowling Green Bay National Park,-19.5054863,146.953163
Bribie Island National Park,-27.0453628,153.1732664
Broadwater National Park,-27.05,153.4333
Bunya Mountains National Park,-26.8333419,151.5902711
Burleigh Head National Park,-28.0939695,153.4582542
Burrum Coast National Park,-25.0472943,152.4633253
Byfield National Park,-22.8440871,150.7428847
Cania Gorge National Park,-24.6777931,150.9867315
Cape Hillsborough National Park,-20.9116231,149.0319775
Cape Melville National Park,-14.3900338,144.4756908
Cape Tribulation,-16.030644,145.4378119
Capricorn Caves,-23.1650734,150.4904529
Carnarvon Gorge,-24.9705481,148.5263689
Carnarvon National Park,-25.0362205,148.0862502
Castle Hill National Park,-19.2667,146.7833
Cedar Bay National Park,-15.7,145.1667
Cedar Creek National Park,-27.4167,152.8833
Chillagoe-Mungana Caves National Park,-17.2070549,144.5096121
Clump Mountain National Park,-17.8474932,146.0908755
Conway National Park,-20.411147,148.7773836
Cooloola Recreation Area,-26.0667,153.0167
Cooloolabin Conservation Park,-26.6167,152.8667
Crediton State Forest,-21.3024903,148.5869077
Crows Nest National Park,-27.3113656,152.1122731
D'Aguilar National Park,-27.3685414,152.7772552
Daintree National Park,-16.2875299,145.2046723
Dalrymple National Park,-19.7863446,146.1004194
Davies Creek National Park,-17.0036761,145.5808525
Dawes Range National Park,-23.95,150.7167
Deepwater National Park,-24.3082663,151.9379523
Diamantina National Park,-23.8020147,141.4235973
Edmund Kennedy National Park,-18.3333,146.1667
Eubenangee Swamp National Park,-17.4247243,145.955798
Eungella National Park,-21.0029926,148.576656
Eurimbula National Park,-24.1905123,151.7251057
Expedition National Park,-24.9191513,148.9243225
Fitzroy Island National Park,-16.9328923,145.9952143
Frankland Islands National Park,-17.2167,146.0167
Fraser Island National Park,-25.2167,153.1333
Girraween National Park,-28.8204193,151.9344628
Girringun National Park,-18.4959562,145.4613873
Glass House Mountains National Park,-26.8633248,152.9941494
Goodedulla National Park,-23.3055785,149.796866
Goodnight Scrub National Park,-24.2667,151.0167
Great Sandy National Park,-25.2472757,153.145259
Green Island National Park,-16.759628,145.9744788
Hinchinbrook Island National Park,-18.3439631,146.2360987
Idalia National Park,-24.9393915,144.6831629
Imbil State Forest,-26.547367,152.6625891
Inskip Peninsula Recreation Area,-25.8333,153.0833
Iron Range National Park,-12.75,143.25
Isla Gorge National Park,-25.1418957,149.9292285
Jardine River National Park,-11.3733589,142.6329369
Jourama Falls National Park,-18.75,146.1167
Kondalilla National Park,-26.68181,152.8341331
Kroombit Tops National Park,-24.4191146,150.9700112
Lakefield National Park,-15.0115156,144.0197151
Lamington National Park,-28.2440481,153.1573088
Lonesome National Park,-26.15,149.7333
Lumholtz National Park,-17.8333,145.8333
Magnetic Island National Park,-19.1394215,146.8320845
Main Range National Park,-27.9301075,152.2593825
Mapleton Falls National Park,-26.6286848,152.8401467
Maroochy River Conservation Park,-26.6244474,153.0962995
Michaelmas Cay National Park,-16.9167,146.0833
Millstream Falls National Park,-17.6320129,145.4640718
Moreton Island National Park,-27.1667,153.4167
Mossman Gorge,-16.466582,145.3593679
Mount Jim Crow National Park,-24.1,151.2167
Mount Spec National Park,-18.8667,146.15
Noosa National Park,-26.4473531,153.091471
Paluma Range National Park,-18.9688064,146.1792109
Porcupine Gorge National Park,-20.3870001,144.4504317
Precipice National Park,-25.3466416,150.1229434
Pumicestone National Park,-26.8853241,153.0976041
Ravensbourne National Park,-27.3620723,152.2074375
Robinson Gorge National Park,-24.8167,148.5833
Simpson Desert National Park,-24.9878768,138.1817152
Springbrook National Park,-28.2340527,153.3341342
Stony Creek Conservation Park,-19.3,146.8167
Sundown National Park,-28.8528849,151.7198157
Tamborine National Park,-27.9318008,153.1702502
Taunton National Park,-23.5405574,149.2164382
Townsville Town Common Conservation Park,-19.2097662,146.7424181
Tully Gorge National Park,-17.8267601,145.8530975
Undara Volcanic National Park,-18.294367,144.6418548
Wallaman Falls,-18.5921254,145.8015989
White Mountains National Park,-20.5133104,145.0021722
Whitsunday Islands National Park,-20.1189023,148.9134288
Wongi State Forest,-25.4437247,152.5847106
Wooroonooran National Park,-17.3628015,145.7937016
